hastalık,nedir,belirtiler
Ağız İçi Yaraları,"Ağız yarası, ağız içindeki mukozal yüzeyde meydana gelen küçük, ağrılı lezyonları tanımlayan bir terimdir. Bu yaralar dil, dudak içi, yanak içi veya ağız tabanında görülebilir. Ağız yaralarının birçok farklı türü vardır, ancak en yaygın olanı aftlardır. Aft genellikle stres, beslenme eksiklikleri, bağışıklık sistemi sorunları veya genetik faktörler gibi çeşitli nedenlere bağlı olarak ortaya çıkabilir.","Ağız yarası, ağız içindeki mukozal dokuda meydana gelen küçük yaralanmaların sonucunda ortaya çıkan rahatsız edici bir durumdur. Belirtileri şu şekilde sıralanabilir: Ağrı ve Rahatsızlık: Ağız yarasının en belirgin semptomu ağrıdır. Yara bölgesindeki sinir uçlarında meydana gelen hasar nedeniyle ağrı hissedilir.Kızarıklık ve Şişlik: Yara bölgesinde çevresindeki dokularda kızarıklık ve hafif şişlik görülebilir. Bu, iltihaplanma sürecinin bir sonucu olarak meydana gelir.Beyaz veya Gri Renkli Lekeler: Ağız yarasının üzerinde beyaz veya gri renkli lekeler oluşabilir. Bu lekeler, yaranın iyileşme sürecinde görülen normal bir durumdur.Yemek Yeme Zorluğu: Ağız yarası nedeniyle yemek yemek veya içecek tüketmek zorlaşabilir. Bu durum, ağız içindeki hassasiyet ve ağrıdan kaynaklanabilir.Konuşma Zorluğu: Yaranın bulunduğu bölgeye dokunduğunda veya dilin temas ettiği bir alanı etkilediğinde konuşma zorluğu yaşanabilir.Ağızda Yanma Hissi: Ağız yarası nedeniyle ağız içinde hafif bir yanma hissi ortaya çıkabilir."
AIDS,,
Akciğer Embolisi,Akciğer embolisi olarak bilinen “pulmoner emboli” akciğerlerdeki kan damarlarında kan pıhtısı ve tıkanma durumudur. Vücudun başka bir bölgesine giden kan pıhtılarına “emboli” denir. Emboli kan damarlarında tıkanmaya neden olduğunda damar tıkanıklığı meydana gelebilir. Akciğerlere kan gönderen damarlarda oluşan emboli koparak akciğere geldiğinde burada tıkanmaya neden olabilir. Bu durum genellikle bacak ve kollardaki derin damarlarda oluşan pıhtılardan kaynaklanabilir.,
Akdeniz Anemisi (Talasemi),"Akdeniz anemisi, genetik bir kan hastalığı olan talasemi olarak da bilinen bir grup rahatsızlığı tanımlayan bir terimdir. Bu hastalık, vücutta normal kan hücrelerinin üretiminde sorunlar yaşayan ve anemiye yol açabilen bir genetik bozukluktur.Talasemi, hemoglobin adı verilen proteinin normal şekilde üretilememesi veya eksik üretilmesi sonucu ortaya çıkar. Bu hastalık, özellikle Akdeniz bölgesinde daha sık görüldüğü için ""Akdeniz anemisi"" olarak adlandırılır. Hemoglobin, kanın oksijen taşıma yeteneğini etkilediği için talasemi hastaları anemi (kansızlık) semptomları yaşayabilirler. Akdeniz anemisi, genetik taşıyıcı olan iki ebeveynin bir araya gelmesi sonucu oluşur ve çeşitli ciddiyet seviyelerine sahip farklı alt tipleri bulunur. Öte yandan ""ateşli akdeniz anemisi"" ve akdeniz anemisi farklı hastalıkları ifade eder.","Akdeniz anemisi taşıyıcılarında tipik olarak belirgin semptomlar görülmez. Taşıyıcılar, genetik bir mutasyon nedeniyle Akdeniz anemisi hastalığını taşıdıkları için genellikle sağlıklıdırlar ve semptomlar yaşamazlar. Bu nedenle Akdeniz anemisi taşıyıcılarının kendilerinde özgün belirtiler gösterme eğilimleri yoktur."
Alzheimer,Nörodejeneratif bir hastalık olan alzheimer hastalığının kesin nedeni tam olarak bilinmese de etkileyen pek çok risk faktörü olduğu olabilir. Alzheimer hastalığına neden olabilecek risk faktörleri şöyle listelenebilir:,"Alzheimer belirtilerigenelde hafif unutkanlıkla başlar ve zamanla kötüleşen semptomlar gelişebilir.Alzheimer 7 evresibulunan ve evreleri ilerledikçe, belirtileri artan bir hastalıktır. Hastalığın belirtileri kişiden kişiye farklılık gösterse de genel olarak azheimer belirtileri şunlardır: Hafıza Problemleri:En yaygın belirtilerden biri olan hafıza kaybı sonucu yakın geçmişteki olayları hatırlama güçlüğü görülür. Örneğin, yeni öğrenilen bilgilerin unutulması veya önemli tarihlerin hatırlanmaması gibi durumlar ortaya çıkabilir.Dil Sorunları:Alzheimer hastalarının dil yeteneklerinde zamanla zayıflama görülebilir. Kelimeleri bulmakta zorlanma, cümleleri düzgün kuramama veya anlam bozuklukları belirtiler arasındadır.Yön Bulma ve Mekansal Sorunlar:Alzheimer evreleri ilerledikçe, kişi günlük yaşamda yön bulmada, tanıdık yerlere ulaşmakta zorlanabilirKarmaşıklıkla Başa Çıkma Güçlüğü:Günlük yaşamda yemek yapma ve giyinme gibi basit görevleri yerine getirme yeteneği azalabilir.Karar Vermekte Zorlanma:Alzheimer hastaları basit kararları bile almakta güçlük çekebilirler ve işleri organize etmekte zorlanabilir.Kişilik ve Davranış Değişiklikleri:Hastalığın ilerlemesiyle birlikte alışılmadık davranışlar, öfke nöbetleri, depresyon, huzursuzluk gibi semptomlar ortaya çıkabilir.Zaman ve Mekan Kavramını Kaybetme:Alzheimer hastaları zamanı ve ortamları algılamakta zorlanarak saatleri ve günleri karıştırma, geçmiş ve gelecek arasındaki farkı anlamakta zorlanma gibi durumlar yaşayabilir.Sosyal İzolasyon:Kişi sosyal etkileşimden kaçınabilir ve sosyal etkinliklere katılmak istemeyebilir.İşlev Kaybı:Alzheimer hastaları günlük yaşam aktivitelerini bağımsız bir şekilde yerine getirmekte zorlanabilir."
Anksiyete,"Anksiyete bozukluğugünlük durumlar hakkında aşırı heyecan, endişe, stres, korku hissedilmesi  ve bu duyguların sık sık, yoğun bir şekilde yaşanmasıdır. Yaşanılan bu duygular genellikle gerçeklikten uzaktır ve yersizdir. Kişiler hissettikleri bu duyguları, ellerinde olmadan olduğunu söylese de, bu duygulardan vazgeçemez. Anksiyete bozuklukları genelde dakikalar içinde doruk noktasına ulaşır ve panik atağa dönüşebilir.","Anksiyete belirtilerikişiden kişiye ve bu durumun nedenine bağlı olarak farklılık gösterebilir. Yaygın görülen belirtilerin başında ise günlük aktiviteleri sekteye uğratan aşırı endişe durumu gelebilir. Genel olarak ortaya çıkabilecek belirtilerden bazıları şu şeklide belirtilebilir: Gerginlik ve huzursuzlukKorkulu ve endişeli bir hâlKonsantrasyon zorluğu ve dikkat eksikliğiTerleme ve titremeKalp çarpıntısıHızlı nefes almaYorgun ve güçsüz hissetmeMide bulantısı, kusma, karın ağrısıBaş ağrısı, baş dönmesi veya denge kaybıEndişeyi kontrol etmede zorlukGelecekle ilgili olumsuz ve kötümser olmaBir doğal afet veya felaket olacakmış düşüncesiSosyal çevreden uzaklaşmaGünlük işleri yerine getirmede zorlukUyku sorunları yaşamaİştah azalması veya yeme problemleri"
AORT Anevrizması,"Aort damarı, kalbin sol karıncığından çıkarak vücuda kan ve oksijen taşımakla görevlidir. Aort 1,5-2 cm çapındadır ve vücudun en büyük arteridir. Arterler ve venlerde anormal boyutlara ulaşan şişlikler anevrizma olarak adlandırılır. Anevrizmalar herhangi bir arter veya vende oluşabilir. Kan damarının genişlemesine neden olur ve yavaş yavaş büyüme eğilimindedir. Belli bir büyüklüğe ulaşan anevrizmalarda yırtılma veya patlama riski artar ve acil tıbbi müdahale gerektirir. AAort duvarlarında birtakım nedenlerle zayıflama oluştuğunda anevrizma riski görülebilir. Bu duruma “Aort anevrizması” veya “Aort balonlaşması” adı verilir.",
Apandisit,"Apandisit apendiks isimli organın iltihaplanması durumudur. Karnın alt kısmında akut (ani, sürekli olmayan) ağrı ile kendini belli eder. Apendiks, yaklaşık bir parmak büyüklüğünde, boru şeklinde bir keseciktir. Bu organ, kalın bağırsağın sağ alt ucunda bulunur. Fazla sıvı ve besinlerin emilmesi için kalın bağırsakta hareket eden dışkı, apendiksi tıkayabilir veya enfekte ederek iltihaplanmasına yani apandisite yol açabilir. Enflamasyon, apendiksin şişmesine neden olur ve apendiks şiştiği zaman patlayabilir.","Tipik bir apandisit vakasında karın ağrısı, karnın ortasında, göbek deliğinin çevresinde başlar. Ağrı birkaç saat boyunca sabit kalabilir ya da gelip gidici karakterde olabilir. Birkaç saatin sonunda ağrı yoğunlaşır ve mide bulantısı ile birlikte kusma başlar. Birkaç saat sonra mide bulantısı da geçer ve hissedilen ağrı, apendiksin bulunduğu sağ alt karın bölgesine kayar. Ağrı zamanla daha noktasal hale gelir ve giderek kötüleşmeye devam eder. Apandisitin tipi klinik bulguları bu şekildedir. Ateş:İnsanların bir kısmında ateş gelişir. Ateş, bağışıklık sisteminin çalıştığı ve bir enfeksiyonla savaştığı anlamına gelir. Ayrıca iltihabın şiddetinin arttığı veya enfeksiyonun yayıldığı anlamına da gelebilir.Halsizlik:Hasta genel olarak kendini iyi hissetmez. Enerjisi ya da motivasyonu düşüktür. Tıpkı herhangi bir soğuk algınlığındaki gibi yataktan çıkmak istemez, yorgundur.Karın şişliği:Hastanın karnı şişkin görünebilir ya da şişkin hissedebilir. Bu semptom genelde apandisit ilerlediği zaman görülür ve apandisit patlaması belirtileri arasında bulunur.Üriner semptomlar:Hasta daha sık veya daha acil bir şekilde işemesi gerektiğini hissedebilir. Genellikle apandisit, hastanın mesanesine bağlı sinirleri tahriş ederse bu semptom ortaya çıkar.Bağırsak Felci:Apandisite gelen kan akışı arttığı zaman kan, özellikle bağırsaklardan apandisite gider. Bu durumda hastanın bağırsakları geçici olarak hareket etmeyi durdurabilir. Bazı hastalarda kabızlık gelişir ve gaz çıkaramayacak gibi hissederler. Hasta bağırsak hareketleri, semptomlarını hafifletecekmiş gibi de hissedebilir.İshal:Kimi vakalarda, hastanın apandisitindeki iltihap, kolonun yanındaki ucu tahriş edebilir. Bu olduğu zaman hastanın bağırsakları aşırı aktifleşir ve daha sık dışkıya çıkar."
Astım,"Astım, birçok kişiyi etkileyen yaygın bir sağlık sorunudur. Kişinin nefes yollarının tıkanmasıyla karakterize olan astım kronik hale gelen akciğer enfeksiyonu olarak da tanımlanabilir. Özellikle nefes darlığının devamlı hal almasıyla birlikte kişinin günlük yaşamını ciddi anlamda olumsuz etkileyebilir. Astımın boyutuna ve hastanın yaşadığı sorunlara bağlı olarak farklı tedavi seçenekleri öngörülebilir. Herhangi bir tedavi olmadanastımın ilerlemesidurumunda sağlığı olumsuz etkileyen bir tablo ortaya çıkması olasıdır.","Astımın en sık görülen belirtileri arasında hırıltılı nefes alışverişini saymak mümkündür. Hem erken hem de ileri dönem astın durumunda nefes alırken darlık hissi yaşanır ve konuşma güçlüğü, öksürük gibi ek göstergeler eşlik edebilir. Aşağıdaki unsurlarastım ilerleme belirtileriarasında gösterilebilir: Yaşanan nefes darlığının sonucu olarak hızlı nefes alıp vermeKonuşma güçlüğüNefes alıp verirken şiddetli bir hırıltı sesinin varlığıGöğüste baskı, ağrı ya da sıkışma hissiNefes sorunlarına eşlik eden bilinç bulanıklığıKonuşma zorluğu ve uyku sorunlarıTükenmişlik hali ve kaygıTırnak ve dudaklarda morarmaTerlemeGöğüs ve boyun bölgesinde ağırlık hissiUykudan uyandırma derecesinde rahatsız eden öksürük ve hırıltı"
Aşırı Terleme,,
