branch,desc
Acil TIP,
Ağız ve Diş Sağlığı,"CAD-CAM, (Computer Aided Design and Computer Aided Manifacturing), implantın üzerine yerleştirerek doğal dişlerinizi taklit eden kuronun tasarlaması ve üretilmesinde kullanılan bilgisayar destekli bir teknolojidir. Eski uygulamalarda oldukça uzun süreler alan implant sürecinin bu teknoloji sayesinde artık ayı gün içinde tamamlanması mümkün. Liv Hospita Ağız ve Diş Sağlığı kliniğinde bu teknolojiden faydalanarak implantlarınıza saatler içinde kavuşabilirsiniz."
Ağrı Kliniği (Algoloji),
Aile Danışmanlığı,"Aile Danışmanlığı ailelerin, aile adaylarının, çiftlerin yaşadıkları sorunları tespit eden; çözümü için yöntemler geliştiren, bozulmuş aile sistemini onarmaya yönelik önlemler alan ve uygulamaya koyan, aile, birey veya çiftlere özel müdahale teknik ve stratejileri içeren hizmetleri sunan bir uzmanlık alandır."
Aile Hekimliği,"Aile hekimliği, bireylerin, ailelerin ve toplulukların genel sağlık bakımını üstlenen bir tıbbi uzmanlık alanıdır. Aile hekimleri, genellikle birinci basamak sağlık hizmetleri sunan, genel bir pratisyen hekim olarak çalışan sağlık profesyonelleridir. Bu doktorlar, genel sağlık durumuyla ilgili birçok konuda hizmet verirler ve hastalarına hem önleyici sağlık hizmetleri hem de tedavi odaklı bakım sağlarlar."
Anestezi ve Reanimasyon,"Anestezi ve Reanimasyon, cerrahi müdahalelerde anestezi uygulayarak hastanın ağrısız bir şekilde ameliyat geçirmesini sağlayan ve kritik durumdaki hastaların yaşamsal fonksiyonlarını düzenleyen tıbbi bir uzmanlık alanıdır."
Beslenme ve Diyetetik,"Beslenme ve diyetetik, sağlıklı yaşam için gerekli olan besinleri ve besinlerin insan vücudundaki işlevlerini inceleyen bir bilim dalıdır."
Beyin ve Sinir Cerrahisi,"Nöroşirürji, sinir sistemiyle ilgili cerrahi müdahaleleri gerçekleştirerek bu hastalıkların tedavisini sağlayan tıbbi uzmanlık dalıdır. Nöroşirürji uzmanları, beyin, omurilik, periferik sinirler ve diğer sinir sistemi yapılarında görülen hastalıkları değerlendirir ve cerrahi müdahalelerde bulunur. Nöroşirürji; tümör cerrahisi, beyin damar hastalıkları, epilepsi cerrahisi, omurga-omurilik cerrahisi ve sinir sıkışmalarının düzeltilmesi gibi birçok alanda uzmanlaşmıştır."
Biyokimya Laboratuvarı,"Laboratuvar, bilimsel veya teknolojik araştırmaların, deneylerin ve ölçümlerin kontrollü koşullarda gerçekleştirilmesini sağlayan bir tesistir."
Cerrahi Onkoloji,"Cerrahi Onkolog, kanser cerrahi yönetiminde uzmanlaşmış bir cerrahtır. Birincil rolleri, kanseri teşhis etmek, evrelemek ve tedavi etmek için ameliyatlar gerçekleştirmektir. Ayrıca kanserle ilgili belirli komplikasyonları yönetmektir. Bir cerrahi onkoloğun yaptıklarına dair genel bir bakış:"
